District,4,5,6,7,Tot,labels
1,1.0813183085191926,-0.9859705056734458,-0.6516374531323595,0.42253134330110986,397,4
2,-0.13696702504503314,-0.8574152986484624,-0.4722684288558207,1.115177730521766,544,7
3,1.3905017804927915,-0.5375115629786348,-0.6771610600396148,-0.24888714373296633,137,4
4,0.01348595216142265,-0.705099691560743,-0.6771610600396148,0.9141996684870708,142,7
5,1.114485234578843,-1.0156845200483096,-0.6771610600396148,0.43664155866899956,193,4
6,2.137075129849561,-0.9956905137655623,-0.6526262611481369,-0.3282664321976084,413,4
7,-0.15361731035400158,0.01872254418032375,-0.4329954710714133,0.2236729243998356,581,7
8,-0.3036744155260972,-1.0167348451418496,-0.6602447462797144,1.4547636269356,599,7
9,0.36643722741818185,-0.991612061589675,-0.5535894509886348,0.9136691002917022,164,7
10,-0.8201089434585029,-1.047141756599832,-0.6771610600396148,1.8631080080354108,103,7
11,-0.799153847984861,-1.0249839220945627,-0.5292359221975658,1.7803619293280681,137,7
12,-0.3880583514202973,-0.6956485292372946,-0.41050653524539477,1.1127271173373439,380,7
13,-0.3974563094748536,-0.8953605902387364,-0.5927204605214451,1.3782699833696779,240,7
14,-0.3049419223897644,-0.8917752083561907,-0.6173212651054788,1.3154366441068446,508,7
15,-0.06760299447247332,-0.9695539399296234,-0.6771610600396148,1.2417500969078568,313,7
16,-0.35579202876632054,-1.047141756599832,-0.6771610600396148,1.5284281516617713,432,7
17,0.5856945792973628,-1.047141756599832,-0.6771610600396148,0.8498041498345901,151,7
18,-0.024907905979618453,-1.047141756599832,-0.6172032378965358,1.2716487987835758,169,7
19,1.2648270511864994,-0.9859705056734458,-0.6516374531323595,0.29025815295240726,397,4
20,0.5667741869226268,-1.0258391367596782,-0.6771610600396148,0.8417650091410852,285,7
21,-0.4642727596433768,0.6848771982465425,-0.5137276416173508,-0.20565650151788925,992,5
22,-0.4172964431455837,0.2495566029295289,-0.5520638755682523,0.21514004485314384,405,5
23,-0.7267400397989859,-1.036518402873771,-0.6771610600396148,1.7849976203183402,1143,7
24,-0.6415913265705961,-0.9511244737436644,-0.6607249336127204,1.6317173470215396,3699,7
25,-0.5881748710160417,-0.9502601610501965,-0.6771610600396148,1.5973457304219723,282,7
26,-0.727794535092509,-1.047141756599832,-0.648374492022057,1.787792260529933,352,7
27,-0.7644189304521771,-1.0387877880350658,-0.6736753799769453,1.8134032512377876,2907,7
28,-0.7413511858204171,-0.9121462195203321,-0.6712319366094333,1.667164107035215,1709,7
29,-0.672047556632527,-0.8510608239802346,-0.6286784191679384,1.5420788942337798,836,7
30,-0.6366201026329268,-0.912225164278858,-0.6771610600396148,1.593561694791069,990,7
31,-0.2296044252388511,-0.9978020844791995,-0.5659918026487697,1.3533758213773275,2461,7
32,-0.26294733137904186,-0.9653435232315769,-0.6771610600396148,1.3782699833696779,1002,7
33,-0.5237495084964564,-1.0320445180275029,-0.6699618615016536,1.6319347946412943,2815,7
34,-0.4115611440004315,-1.0343870367375552,-0.6771610600396148,1.5556476995754644,238,7
35,-0.8543520887911092,0.8236089307373845,1.5629813051846804,-0.6987337229621958,1746,6
36,-0.8439824627235464,-0.4525782911301605,3.6415388435931186,-0.04123509682371689,725,6
