District,4,5,6,7,Tot,labels
1,0.26700251889168763,0.20151133501259447,0.21662468513853905,0.3148614609571788,397,6
2,0.10845588235294118,0.11397058823529412,0.16727941176470587,0.6102941176470589,544,7
3,0.4306569343065693,0.24087591240875914,0.16058394160583941,0.1678832116788321,137,4
4,0.11267605633802817,0.16901408450704225,0.2605633802816901,0.45774647887323944,142,6
5,0.23834196891191708,0.22279792746113988,0.22797927461139897,0.31088082901554404,193,6
6,0.5084745762711864,0.20581113801452786,0.14527845036319612,0.14043583535108958,413,4
7,0.08433734939759036,0.39759036144578314,0.1927710843373494,0.3253012048192771,581,6
8,0.07679465776293823,0.05008347245409015,0.16193656093489148,0.7111853088480802,599,7
9,0.21341463414634146,0.07926829268292683,0.21951219512195122,0.4878048780487805,164,7
10,0.0,0.009708737864077669,0.0,0.9902912621359223,103,7
11,0.021897810218978103,0.014598540145985401,0.15328467153284672,0.8102189781021898,137,7
12,0.060526315789473685,0.15,0.23684210526315788,0.5526315789473685,380,7
13,0.0375,0.11666666666666667,0.15,0.6958333333333333,240,7
14,0.05708661417322835,0.10236220472440945,0.2125984251968504,0.6279527559055118,508,7
15,0.07987220447284345,0.11501597444089456,0.2268370607028754,0.5782747603833865,313,7
16,0.07175925925925926,0.034722222222222224,0.14814814814814814,0.7453703703703703,432,7
17,0.13245033112582782,0.16556291390728478,0.26490066225165565,0.4370860927152318,151,6
18,0.07692307692307693,0.11242603550295859,0.1952662721893491,0.6153846153846154,169,7
19,0.20654911838790932,0.2795969773299748,0.2518891687657431,0.2619647355163728,397,6
20,0.17543859649122806,0.14385964912280702,0.22105263157894736,0.45964912280701753,285,6
21,0.06149193548387097,0.561491935483871,0.13306451612903225,0.2439516129032258,992,5
22,0.08395061728395062,0.41728395061728396,0.15555555555555556,0.3432098765432099,405,6
23,0.014873140857392825,0.015748031496062992,0.06561679790026247,0.9037620297462817,1143,7
24,0.024871586915382535,0.04487699378210327,0.09516085428494188,0.8350905650175723,3699,7
25,0.04964539007092199,0.04609929078014184,0.02127659574468085,0.8829787234042553,282,7
