District,4,5,6,7,Tot,labels
1,0.02518891687657431,0.14105793450881612,0.5818639798488665,0.2518891687657431,397,5
2,0.0055147058823529415,0.06066176470588235,0.4319852941176471,0.5018382352941176,544,6
3,0.0,0.029197080291970802,0.49635036496350365,0.4744525547445255,137,6
4,0.014084507042253521,0.07042253521126761,0.647887323943662,0.2676056338028169,142,6
5,0.0,0.02072538860103627,0.533678756476684,0.44559585492227977,193,6
6,0.0,0.0387409200968523,0.4576271186440678,0.5036319612590799,413,6
7,0.0068846815834767644,0.08261617900172118,0.2857142857142857,0.6247848537005164,581,6
8,0.005008347245409015,0.10517529215358931,0.4507512520868113,0.43906510851419034,599,6
9,0.024390243902439025,0.11585365853658537,0.5304878048780488,0.32926829268292684,164,5
10,0.0,0.009708737864077669,0.17475728155339806,0.8155339805825242,103,7
11,0.029197080291970802,0.12408759124087591,0.46715328467153283,0.3795620437956204,137,5
12,0.002631578947368421,0.05263157894736842,0.4473684210526316,0.49736842105263157,380,6
13,0.008333333333333333,0.029166666666666667,0.37083333333333335,0.5916666666666667,240,7
14,0.001968503937007874,0.051181102362204724,0.4015748031496063,0.5452755905511811,508,6
15,0.006389776357827476,0.0926517571884984,0.3961661341853035,0.5047923322683706,313,6
16,0.0023148148148148147,0.020833333333333332,0.46064814814814814,0.5162037037037037,432,6
17,0.0,0.052980132450331126,0.33774834437086093,0.609271523178808,151,7
18,0.005917159763313609,0.05917159763313609,0.4437869822485207,0.4911242603550296,169,6
19,0.0,0.02518891687657431,0.327455919395466,0.6473551637279596,397,7
20,0.0035087719298245615,0.02456140350877193,0.5017543859649123,0.47017543859649125,285,6
21,0.011088709677419355,0.07862903225806452,0.34475806451612906,0.5655241935483871,992,6
22,0.012345679012345678,0.0691358024691358,0.2222222222222222,0.6962962962962963,405,7
23,0.009623797025371828,0.03587051618547681,0.32808398950131235,0.626421697287839,1143,7
24,0.0032441200324412004,0.014328196809948636,0.16599080832657476,0.8164368748310354,3699,7
25,0.01773049645390071,0.010638297872340425,0.2695035460992908,0.7021276595744681,282,7
26,0.002840909090909091,0.008522727272727272,0.11079545454545454,0.8778409090909091,352,7
27,0.006535947712418301,0.021327829377364983,0.2153422772617819,0.7567939456484348,2907,7
28,0.0011702750146284377,0.011117612638970159,0.10415447630193095,0.8835576360444705,1709,7
29,0.0023923444976076554,0.011961722488038277,0.14114832535885166,0.8444976076555024,836,7
30,0.0,0.014141414141414142,0.17777777777777778,0.8080808080808081,990,7
31,0.005688744412840309,0.027224705404307194,0.18325883787078423,0.7838277123120683,2461,7
32,0.001996007984031936,0.04291417165668663,0.2125748502994012,0.7425149700598802,1002,7
33,0.007104795737122558,0.037655417406749554,0.17868561278863232,0.7765541740674956,2815,7
34,0.0,0.004201680672268907,0.23949579831932774,0.7563025210084033,238,7
35,0.012027491408934709,0.18098510882016036,0.5240549828178694,0.2829324169530355,1746,5
36,0.015172413793103448,0.11172413793103449,0.4289655172413793,0.44413793103448274,725,6
37,0.010344827586206896,0.1103448275862069,0.5112068965517241,0.36810344827586206,1160,6
38,0.008491182233834096,0.10124101894186806,0.4715871979098628,0.418680600914435,1531,6
39,0.009487666034155597,0.07590132827324478,0.5028462998102466,0.4117647058823529,527,6
40,0.0019230769230769232,0.075,0.46153846153846156,0.46153846153846156,520,6
41,0.0079155672823219,0.1169744942832014,0.5417766051011433,0.3333333333333333,1137,6
42,0.005025125628140704,0.09547738693467336,0.5753768844221105,0.3241206030150754,398,6
43,0.010416666666666666,0.2300347222222222,0.5086805555555556,0.2508680555555556,1152,5
